datetime,score,is_last
2:33 2021/05/18,2650,0
2:49 2021/05/18,2641,0
3:00 2021/05/18,2628,0
3:12 2021/05/18,2639,0
3:29 2021/05/18,2651,1
22:03 2021/05/18,2636,0
22:15 2021/05/18,2652,0
22:27 2021/05/18,2637,0
22:39 2021/05/18,2647,0
22:50 2021/05/18,2633,0
23:05 2021/05/18,2642,0
23:16 2021/05/18,2634,0
23:27 2021/05/18,2619,0
23:38 2021/05/18,2632,0
23:49 2021/05/18,2613,0
0:00 2021/05/19,2598,0
0:11 2021/05/19,2605,0
0:28 2021/05/19,2589,0
0:51 2021/05/19,2605,0
1:06 2021/05/19,2592,0
1:21 2021/05/19,2582,0
1:32 2021/05/19,2588,0
2:08 2021/05/19,2604,0
2:23 2021/05/19,2594,0
2:35 2021/05/19,2581,0
2:47 2021/05/19,2566,0
3:00 2021/05/19,2578,1
0:34 2021/05/20,2591,0
0:45 2021/05/20,2607,0
0:58 2021/05/20,2622,0
1:09 2021/05/20,2637,1
20:27 2021/05/20,2654,0
20:41 2021/05/20,2654,0
20:57 2021/05/20,2665,0
21:12 2021/05/20,2652,0
21:26 2021/05/20,2636,0
21:37 2021/05/20,2652,0
21:50 2021/05/20,2636,0
22:01 2021/05/20,2653,0
22:14 2021/05/20,2665,0
22:30 2021/05/20,2656,0
23:00 2021/05/20,2646,0
23:12 2021/05/20,2663,0
23:39 2021/05/20,2647,0
23:52 2021/05/20,2633,0
0:05 2021/05/21,2646,1
2:15 2021/05/22,2660,0
2:48 2021/05/22,2645,0
3:04 2021/05/22,2634,0
3:20 2021/05/22,2645,0
3:32 2021/05/22,2627,1
20:28 2021/05/22,2640,0
21:09 2021/05/22,2654,0
21:10 2021/05/22,2671,0
21:11 2021/05/22,2686,0
21:12 2021/05/22,2701,0
23:42 2021/05/23,2717,0
23:56 2021/05/23,2701,0
0:14 2021/05/24,2709,0
0:35 2021/05/24,2690,0
0:50 2021/05/24,2676,0
1:04 2021/05/24,2689,0
1:19 2021/05/24,2701,0
1:37 2021/05/24,2684,0
1:57 2021/05/24,2692,0
2:15 2021/05/24,2706,1
23:11 2021/05/24,2690,0
23:23 2021/05/24,2674,0
23:34 2021/05/24,2657,0
23:51 2021/05/24,2670,0
0:02 2021/05/25,2656,0
0:15 2021/05/25,2644,0
0:27 2021/05/25,2654,1
0:43 2021/05/26,2632,0
0:42 2021/05/26,2617,0
0:56 2021/05/26,2630,0
1:17 2021/05/26,2647,0
1:31 2021/05/26,2658,0
1:49 2021/05/26,2672,0
2:19 2021/05/26,2689,0
2:20 2021/05/26,2699,0
2:33 2021/05/26,2691,0
2:45 2021/05/26,2707,0
2:57 2021/05/26,2723,0
3:11 2021/05/26,2729,1
2:02 2021/05/27,2742,0
2:20 2021/05/27,2759,1
2:16 2021/05/28,2748,0
2:27 2021/05/28,2761,0
19:47 2021/05/30,2775,0
20:03 2021/05/30,2760,1
23:31 2021/05/31,2741,1
22:06 2021/06/01,2730,1
0:17 2021/06/03,2719,0
0:32 2021/06/03,2728,0
0:58 2021/06/03,2743,1
23:51 2021/06/03,2746,0
0:03 2021/06/04,2760,0
0:16 2021/06/04,2768,1
21:29 2021/06/07,2754,0
21:40 2021/06/07,2768,0
22:14 2021/06/07,2781,0
22:39 2021/06/07,2765,0
23:07 2021/06/07,2778,0
23:29 2021/06/07,2762,0
23:28 2021/06/07,2746,1
1:14 2021/06/11,2758,0
1:26 2021/06/11,2746,0
1:58 2021/06/11,2734,0
2:17 2021/06/11,2748,1
1:32 2021/06/12,2760,0
1:46 2021/06/12,2743,0
2:10 2021/06/12,2732,1
22:38 2021/06/14,2713,0
22:38 2021/06/14,2697,0
23:05 2021/06/14,2686,0
23:18 2021/06/14,2670,0
23:37 2021/06/14,2654,0
23:53 2021/06/14,2643,0
0:06 2021/06/15,2651,0
0:18 2021/06/15,2651,0
0:30 2021/06/15,2665,0
0:41 2021/06/15,2679,0
0:54 2021/06/15,2693,0
1:06 2021/06/15,2705,0
1:20 2021/06/15,2705,0
1:31 2021/06/15,2689,1
22:35 2021/06/15,2702,0
22:50 2021/06/15,2719,0
23:03 2021/06/15,2736,0
23:15 2021/06/15,2719,0
23:27 2021/06/15,2732,0
23:44 2021/06/15,2740,0
23:59 2021/06/15,2751,1
22:38 2021/06/17,2732,0
22:38 2021/06/17,2716,0
22:52 2021/06/17,2700,0
23:08 2021/06/17,2684,0
23:19 2021/06/17,2701,1
1:41 2021/06/19,2713,0
1:52 2021/06/19,2703,0
2:08 2021/06/19,2714,0
2:23 2021/06/19,2703,0
2:35 2021/06/19,2692,0
2:46 2021/06/19,2677,0
3:00 2021/06/19,2692,0
3:13 2021/06/19,2704,0
3:24 2021/06/19,2719,0
3:38 2021/06/19,2703,0
3:51 2021/06/19,2712,0
4:17 2021/06/19,2726,0
4:18 2021/06/19,2710,0
4:34 2021/06/19,2703,0
4:34 2021/06/19,2691,0
4:44 2021/06/19,2674,0
4:56 2021/06/19,2690,0
5:13 2021/06/19,2681,0
5:28 2021/06/19,2692,0
5:40 2021/06/19,2687,0
5:55 2021/06/19,2703,1
23:32 2021/06/19,2718,0
23:33 2021/06/19,2708,0
23:46 2021/06/19,2715,0
23:58 2021/06/19,2728,0
0:08 2021/06/20,2739,0
0:24 2021/06/20,2722,0
0:35 2021/06/20,2704,0
0:47 2021/06/20,2690,0
1:01 2021/06/20,2673,0
1:14 2021/06/20,2682,0
1:26 2021/06/20,2689,0
1:42 2021/06/20,2679,0
1:54 2021/06/20,2692,0
2:05 2021/06/20,2706,0
2:17 2021/06/20,2695,0
2:28 2021/06/20,2691,0
2:39 2021/06/20,2709,1
22:53 2021/06/20,2721,0
23:04 2021/06/20,2711,0
23:18 2021/06/20,2724,0
23:30 2021/06/20,2713,0
23:43 2021/06/20,2697,0
23:55 2021/06/20,2685,0
22:27 2021/06/21,2676,0
22:27 2021/06/21,2662,0
22:43 2021/06/21,2668,0
22:54 2021/06/21,2651,0
23:06 2021/06/21,2659,0
23:33 2021/06/21,2676,0
23:57 2021/06/21,2693,0
0:07 2021/06/22,2700,0
0:23 2021/06/22,2681,0
0:38 2021/06/22,2685,0
0:50 2021/06/22,2697,0
1:01 2021/06/22,2711,1
21:55 2021/06/22,2726,0
22:18 2021/06/22,2733,0
22:29 2021/06/22,2715,0
22:55 2021/06/22,2728,0
22:55 2021/06/22,2710,0
23:12 2021/06/22,2722,0
23:26 2021/06/22,2706,0
23:41 2021/06/22,2699,0
23:55 2021/06/22,2686,0
0:11 2021/06/23,2669,0
0:23 2021/06/23,2677,0
0:35 2021/06/23,2691,0
0:47 2021/06/23,2700,0
0:59 2021/06/23,2686,0
1:09 2021/06/23,2698,0
1:24 2021/06/23,2704,0
1:41 2021/06/23,2715,0
2:11 2021/06/23,2699,0
2:23 2021/06/23,2691,0
2:34 2021/06/23,2681,1
21:40 2021/06/25,2694,1
